tip,app,url,settings_enabled
Variant Details shows all other samples in your database that carry the same variant. Filterable by zygosity.,variantopedia,variant_sample_information,VARIANT_DETAILS_SHOW_SAMPLES
The Gene Symbol page has a hotspot graph showing where classifications cluster across the transcript. Click through to see the underlying records.,genes,view_gene_symbol,VIEW_GENE_HOTSPOT_GRAPH_CLASSIFICATIONS
Gene Symbol pages show GenCC gene/disease relationships with evidence levels. Click to expand the full list including MOI and source.,genes,view_gene_symbol,
You can download all classifications for a gene as a CSV from the Gene Symbol page → Classifications tab.,genes,view_gene_symbol_classifications_download,
The Gene Wiki lets you add lab-wide notes to any gene. These notes appear across all analysis grids and variant pages for that gene.,genes,gene_wiki,VIEW_GENE_WIKI
The Variant Wiki works the same way as Gene Wiki but is specific to a single variant. Useful for documenting known artefacts or interpretations.,variantopedia,variant_wiki,
You can search for Ensembl Gene versions like 'ENSG00000243646.11'. It takes you straight to the gene page.,variantopedia,search,
The annotation descriptions page documents every column available in the grids and what it means. Find it under Annotation → Descriptions.,annotation,view_annotation_descriptions,
MANE transcripts are indicated and selected as the default on variant detail pages and during classification. Look for the MANE badge on transcripts.,variantopedia,view_variant,
"On the variant details page, you can toggle between genome builds if the variant exists in multiple builds. The switcher only shows builds where it's actually present.",variantopedia,view_variant,
Intergenic variants are supported. You can still see limited annotation for variants that fall outside gene boundaries.,variantopedia,view_variant,
"The Classification Dashboard shows pathogenicity distribution, discordance summaries, and per-gene classification counts for your lab.",classification,classification_dashboard,
Discordance Reports highlight variants where your lab and another lab have conflicting pathogenicity calls. Review and triage them from the Discordance Reports page.,classification,discordance_reports,DISCORDANCE_ENABLED
The Activity feed shows a timeline of recent classification changes across your lab. Great for staying up to date with team activity.,classification,activity,
You can create a classification directly from an HGVS string. Useful when you want to classify a variant you haven't uploaded yet.,classification,create_classification_from_hgvs,CLASSIFICATION_WEB_FORM_CREATE_ALLOW_NO_VARIANT
"Condition text in classifications is automatically matched to MONDO, OMIM, and HPO terms. Check the Condition Matchings page to review and fix any unresolved terms.",classification,condition_matchings,
"Classifications support file attachments. Upload PDFs, images, or supporting documents directly to a classification record.",classification,classification_file_upload,CLASSIFICATION_FILE_ATTACHMENTS
The Candidate Search feature can find existing classifications across your database that might be relevant to a sample you're currently analysing.,classification,classification_candidate_search,
You can bulk import classifications from a CSV or Excel file. Go to Classifications → Import Upload to check the expected format and upload.,classification,classification_upload_unmapped,
Export your classifications as a REDCap-compatible CSV for research database integration.,classification,export_classifications_grid_redcap,CLASSIFICATION_REDCAP_EXPORT
"ClinVar export is managed per-lab. Once configured, you can prepare, review, and submit ClinVar batches directly from the ClinVar Export Summary page.",classification,clinvar_key_summary,CLINVAR_EXPORT.mode
The Classifications Groupings page organises records by allele or gene. Useful for getting a high-level picture of what's been classified.,classification,classification_groupings,CLASSIFICATION_NEW_GROUPING
Ontology term pages show all classifications and patients linked to that term. Useful for finding relevant prior work when classifying a phenotype-associated variant.,ontology,ontology_term,
Patients can have HPO/OMIM/MONDO phenotype terms attached. These are used by the Phenotype node to filter variants in linked analyses.,patients,view_patient,
"You can bulk import patient records from CSV. Download the template first and include phenotype terms, DOB, sex, and specimen info.",patients,patient_imports,
The QC Coverage page shows gene-level coverage statistics across sequenced samples. Useful for checking if a gene of interest is well covered in your cohort.,genes,qc_coverage,
Somalier ancestry analysis is shown on sample pages. It classifies predicted ancestry based on variant patterns across the genome.,snpdb,view_sample,SOMALIER.enabled
Mutational signature analysis shows SNP transition/transversion patterns for a sample. Accessible from the sample page.,analysis,view_mutational_signature,
The Classification report generates a formatted summary of a classification record that can be shared or printed. Find it in the classification actions menu.,classification,view_template_report,
Hover over any annotation column header in a grid for a tooltip explaining what that column means. No need to look it up separately.,variantopedia,view_variant,
User settings let you set a default genome build. So every page defaults to your preferred build without having to switch each time.,snpdb,view_user_settings,
Initial group permissions in User Settings control how your newly uploaded data is shared by default. Set read access for your lab so colleagues can see your samples immediately.,snpdb,view_user_settings,
IGV integration lets you configure path replacements so that BAM files can be opened in your local IGV directly from the variant page.,snpdb,igv_integration,
You can view the full analysis audit log to see every node configuration change. Great for reproducing an analysis or tracking down when a filter was changed.,analysis,analysis,
"The Annotation Versions page shows exactly which version of gnomAD, ClinVar, VEP etc. was used for each annotation run.",annotation,annotation_versions,
"The Gene Grid combines gene annotation from multiple sources (GenCC, PanelApp, OMIM, gnomAD constraint) into one comparative view.",genes,gene_grid,
"You can filter the Samples list by variant type (SNV, indel, SV) to quickly find samples containing specific variant categories.",snpdb,samples,
The Upload page shows VCF processing status in real time. You can monitor annotation progress after uploading a file.,upload,upload,UPLOAD_ENABLED
The Analysis grid export includes the date and node version in the filename so you can easily track which version of your analysis produced each download.,analysis,analysis,
The variant annotation history tab shows how annotation values for a variant have changed between annotation runs over time.,variantopedia,view_variant_annotation_history,
"You can view the Allele page (prefix 'a' + allele ID) to see a variant unified across genome builds, with liftover coordinates and all associated classifications.",variantopedia,view_allele,
The Karyomapping view lets you visually map inherited chromosomal regions in complex family scenarios.,analysis,karyomapping_analyses,
Sample pages show the full upload and annotation history trail. Useful for understanding if a sample was re-annotated or re-imported.,snpdb,view_sample,
The Cohort Hotspot page shows which genes are most frequently variant in your cohort. Great for spotting systematic issues or shared disease genes.,snpdb,cohort_hotspot,
You can group samples into a Pedigree and use the Pedigree node in analysis to filter by inheritance across a multi-generation family.,snpdb,view_cohort,
"Structural variant annotation includes gnomAD SV frequencies and RepeatMasker overlap. Check the variant details page for SVs like DEL, DUP, and INV.",variantopedia,view_variant,VARIANT_SYMBOLIC_ALT_ENABLED
The 'Nearby Classifications' section on the variant page looks across genome builds. So a GRCh37 classification will show up when viewing the GRCh38 equivalent.,variantopedia,view_variant,
Variant tags can be added or removed directly from the variant detail page. You don't have to be in an analysis to tag a variant.,variantopedia,view_variant,
"The server status page shows system health, database statistics, and activity details. Useful for admins checking annotation pipeline status.",variantopedia,server_status,
You can search for EnrichmentKit names in the global search. Takes you straight to the kit's page showing associated samples.,variantopedia,search,
Horizontal mode lays nodes out left to right with the variant grid docked full width along the bottom. Turn it on in Analysis Settings → Details tab (or set it as your default in User Settings).,analysis,analysis_settings_details_tab,
"Node counts record where their number came from. An exact count is a hard number, an advisory count means data has changed since it was calculated and it needs a reload.",analysis,analysis,
Big nodes no longer load their grid automatically. Change the variant count threshold in User Settings,snpdb,view_user_settings,ANALYSIS_NODE_GRID_AUTO_LOAD_MAX_VARIANTS
The Population node can exclude variants that gnomAD itself filtered out. Handy for dropping low quality population records.,analysis,analysis,
The Effect node uses the new pathogenicity prediction columns and automatically switches based on the annotation version your analysis is using.,analysis,analysis,
"The Tag node has a 'tagged within days' filter, so you can look at just recent tagging activity. Tags marked stale are flagged too.",analysis,analysis,
"Structural variants get AnnotSV annotation, shown on the variant details page and in grids.",variantopedia,view_variant,VARIANT_SYMBOLIC_ALT_ENABLED
"MAVEdb links are shown on the variant page, so you can check whether a variant has functional assay data.",variantopedia,view_variant,
denovoDB annotation is available for checking whether a variant has been seen as de novo in published studies.,annotation,view_annotation_descriptions,
"New dbNSFP gene columns cover haploinsufficiency, essentiality, pathways, GO terms and interactions. See the annotation descriptions page for the full list.",annotation,view_annotation_descriptions,
"New frameshift columns - stop codon distance, PTC to last junction, and NMD escape - are predicted from the new stop codon rather than the variant position.",annotation,view_annotation_descriptions,
Any variants that couldn't be annotated are listed on the VCF and sample pages so you know what's missing rather than silently losing them.,snpdb,view_vcf,
"T2T-CHM13v2 is supported as an experimental genome build. Not all annotation is available yet, but you can load and browse data against it.",snpdb,view_genome_build,
The variant details page can query external GA4GH Beacons to see whether other institutions hold the same variant. Contact the admin if you know of other servers we should add,beacon,external_beacons,BEACON_OUTBOUND_ENABLED
"This server can act as a GA4GH Beacon v2 node, exposing variants (including CNVs and somatic) to other beacons.",beacon,beacon_index,BEACON_ENABLED
MatchMaker Exchange lets you match rare disease patients against other MME nodes. A classification is submitted once it reaches the 'public' share level - the classification page tells you whether that record is eligible.,mme,mme_classification_panel,MME_ENABLED
Inbound MatchMaker matches raise a notification and can be reviewed with the submitting contact's details.,mme,mme_view_inbound_match,MME_ENABLED
"Reclassification analytics shows reclassification rates, VUS rate over time, and which genes carry the most reclassification burden.",classification,classification_reclassification_analytics,
Somatic classifications have their own evidence keys and tier-based clinical significance alongside the germline ACMG workflow.,classification,view_classification,
"The classification page shows sync status - whether the last published version reached each remote (with a link), or why it was excluded.",classification,view_classification,SYNC_DETAILS
Candidate Search can re-run an analysis against current classifications to find variants that were missed or whose classification has since changed.,classification,new_reanalysis_candidate_search,
"You can archive VCF data to save space / remove variants without losing the metadata, so old analyses still make sense after the variant data is gone, and you can restore the VCF to bring it back",snpdb,archive_vcf,
"HGVS resolution uses the BioCommons library. It handles 'inv', gaps in alignments, LRG references and non-coding transcripts.",variantopedia,search,
If you visit the gene list page (genes → gene lists) there is a graphs tab that shows where those genes sit across the genome.,genes,gene_list_graphs_tab,
Lab heads can add and remove members from the lab page without needing an admin.,snpdb,lab_members_tab,LAB_HEAD_MANAGE_MEMBERS
Your user page shows your tags and your classifications in one place.,snpdb,view_user,
"The Tag Stats page shows tag counts over time, broken down by user, lab and gene, plus which tags co-occur.",variantopedia,tag_stats,
"Duplicate tags can be merged - the old tag is retired rather than deleted, and the operation is logged.",snpdb,tag_merge,
Tag sort order is set on the tag colors page. Artifact tags sort last by default so they stay out of your way.,snpdb,tag_settings,
The Tags for Variants grid is back in VG4 - one row per variant showing all its tags across analyses.,variantopedia,tagged_variant_grid,
Ontologies can have multiple versions now. Term pages tell you which version you're looking at so upgrades don't silently change meanings.,ontology,ontology_term,
"Phenotype text matching handles aliases that map to multiple terms, warns when a match is ambiguous, and lets you skip or disable auto-matched terms.",patients,view_patient,
